
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
263,2010-06-21,,의령군,경상남도 의령군의합대로 44-54의령종합환경관리사업소  ,창원기상대(155),35.3226,128.2881,14.1,14.900,2.000,10.000,0.600
264,2010-06-21,,함양군,경상남도 함양군함양읍 용평리915-202  ,창원기상대(155),35.5114,127.7454,152.07,152.500,1.800,10.000,0.600
271,2020-12-04,,봉화,경상북도 봉화군춘양면 서동길59 봉화자동기상관측소 ,안동기상대(136),36.9436,128.9145,324.67,326.220,1.900,10.000,0.600
271,1988-01-01,2020-12-04,봉화,경상북도 봉화군춘양면 서동길59 봉화자동기상관측소 ,대구(구 143),36.9436,128.9145,324.67,326.220,1.900,10.000,0.600
272,1972-11-28,,영주,경상북도 영주시풍기읍 남원로178(성내리 240-55) 영주자동기상관측소,안동기상대(136),36.8718,128.5169,211.32,212.780,1.910,10.000,0.580
273,2020-12-04,,문경,경상북도 문경시유곡불정로 223문경자동기상관측소  ,안동기상대(136),36.6273,128.1488,173.01,174.510,1.800,10.000,0.600
273,1973-01-01,2020-12-04,문경,경상북도 문경시유곡불정로 223문경자동기상관측소  ,대구(구 143),36.6273,128.1488,173.01,174.510,1.800,10.000,0.600
276,2020-12-04,,청송군,경상북도 청송군청송읍 길안청송로1591-9(덕리 519-1) 청송군공동협력기상관측소,대구(구 143),36.4351,129.0401,208.65,210.200,1.750,10.000,0.500
276,2010-09-01,2020-12-04,청송군,경상북도 청송군청송읍 길안청송로1591-9(덕리 519-1) 청송군공동협력기상관측소,안동기상대(136),36.4351,129.0401,208.65,210.200,1.750,10.000,0.500
277,1972-01-03,,영덕,경상북도 영덕군영해면 318만세길90-19 영덕자동기상관측소 ,포항기상대(138),36.5334,129.4093,40.71,42.010,1.700,10.000,0.600
278,1973-01-01,,의성,경상북도 의성군의성읍 홍술로89-14 의성자동기상관측소 ,대구(구 143),36.3561,128.6886,81.44,82.940,1.700,10.000,0.600
279,1973-01-01,,구미,경상북도 구미시원남로2길 16구미지역기상서비스센터  ,대구(구 143),36.1306,128.3206,49.17,50.670,1.700,10.000,1.400
281,1972-01-21,,영천,경상북도 영천시망정3길 35영천기상관측소  ,대구(구 143),35.9774,128.9514,96.12,97.620,1.700,10.000,0.500
283,2010-08-06,,경주시,경상북도 경주시서라벌대로336-20 탑동정수장  ,포항기상대(138),35.8174,129.2009,40.13,41.630,1.670,10.000,0.590
284,2011-03-04,,거창,경상남도 거창군거창읍 수남로2117 거창지역기상서비스센터 ,울산기상대(152),35.6674,127.9099,228.45,227.300,1.500,10.000,1.300
284,1972-01-24,2011-03-04,거창,경상남도 거창군거창읍 수남로2117 거창지역기상서비스센터 ,거창기상대(284),35.6712,127.911,221.4,222.600,1.500,10.000,0.500
285,1973-01-01,,합천,경상남도 합천군합천읍 동서로164번 합천자동기상관측소 ,울산기상대(152),35.5651,128.1699,26.72,33.200,1.500,10.000,0.500
288,1973-01-01,,밀양,경상남도 밀양시점필재로 5밀양자동기상관측소  ,울산기상대(152),35.4915,128.7441,8.31,12.500,2.000,10.000,1.300
289,1972-03-30,,산청,경상남도 산청군산청읍 꽃봉산로133번길 3 산청관측소,창원기상대(155),35.413,127.8791,138.22,138.800,1.600,10.000,0.600
294,1972-01-24,,거제,경상남도 거제시장평2로 2길47 거제기상관측소 ,부산지방기상청(159),34.8882,128.6046,44.83,46.700,1.700,10.000,0.600
295,1972-01-24,,남해,경상남도 남해군이동면 남해대로2423 남해자동기상관측소 ,부산지방기상청(159),34.8166,127.9264,45.71,47.010,1.800,10.000,0.800
