date,sd,sgg,umd,sum_cnt,sum_hpa
20191003,경상남도,합천군,가회면,2,0.5
20191003,경상남도,합천군,대병면,1,0.14
20191003,경상남도,합천군,묘산면 ,1,0.75
20191003,경상남도,합천군,봉산면,3,0.9
20191003,경상남도,합천군,쌍백면,2,0.45
20191003,경상남도,합천군,쌍책면,1,0.2
20191003,경상남도,합천군,청덕면,3,1.19
20191003,경상남도,합천군,합천읍,2,0.43
20191003,경상북도,경주시,감포읍,1,0.5
20191003,경상북도,경주시,동천동,1,0.31
20191003,경상북도,경주시,불국동,1,0.35
20191003,경상북도,경주시,양남면,1,0.6
20191003,경상북도,경주시,양북면,1,0.3
20191003,경상북도,경주시,외동읍,1,1.2
20191003,경상북도,고령군,대가야읍,1,0.55
20191003,경상북도,고령군,덕곡면,1,0.15
20191003,경상북도,고령군,쌍림면,1,4.4
20191003,경상북도,고령군,우곡면,1,0.52
20191003,경상북도,김천시,구성면,1,0.06
20191003,경상북도,김천시,농소면,1,1.16
20191003,경상북도,김천시,대곡동,1,0.02
20191003,경상북도,김천시,대덕면,1,0.02
20191003,경상북도,김천시,대항면,4,0.1
20191003,경상북도,김천시,부항면,1,0.5
20191003,경상북도,김천시,어모면,1,0.16
20191003,경상북도,김천시,조마면,16,7.17
20191003,경상북도,김천시,증산면,1,0.18
20191003,경상북도,성주군,가천면,3,2
20191003,경상북도,성주군,금수면,4,1.1
20191003,경상북도,성주군,벽진면,1,0.4
20191003,경상북도,성주군,선남면,1,0.5
20191003,경상북도,성주군,성주읍,1,0.3
20191003,경상북도,성주군,수륜면,6,2.5
20191003,경상북도,성주군,용암면,1,0.06
20191003,경상북도,영덕군,강구면,19,2.12
20191003,경상북도,영덕군,남정면,13,0.68
20191003,경상북도,영덕군,달산면,28,3.03
20191003,경상북도,영덕군,병곡면,61,7.76
20191003,경상북도,영덕군,영덕읍,44,5.24
20191003,경상북도,영덕군,영해면,23,3.02
20191003,경상북도,영덕군,지품면,23,3.11
20191003,경상북도,영덕군,창수면,68,11.94
20191003,경상북도,영덕군,축산면,18,2.07
20191003,경상북도,영양군,석보면,1,0.29
20191003,경상북도,영양군,수비면,15,4.21
20191003,경상북도,영양군,영양읍,8,1.36
20191003,경상북도,영양군,일월면,1,0.07
20191003,경상북도,영주시,봉현면,1,0.03
20191003,경상북도,영주시,평은면,1,0.08
20191003,경상북도,울릉군,북면,2,0.65
20191003,경상북도,울진군,근남면,41,5.11
20191003,경상북도,울진군,금강송면,6,3.76
20191003,경상북도,울진군,기성면,34,1.57
20191003,경상북도,울진군,매화면,45,7.99
20191003,경상북도,울진군,북면,25,2.96
20191003,경상북도,울진군,온정면,16,2.56
20191003,경상북도,울진군,울진읍,36,3.92
20191003,경상북도,울진군,죽변면,7,0.53
20191003,경상북도,울진군,평해읍,2,0.12
20191003,경상북도,울진군,후포면,7,0.38
20191003,경상북도,청송군,안덕면,1,0.14
20191003,경상북도,포항시 남구,연일읍,1,0.2
20191003,경상북도,포항시 남구,장기면,1,0.3
20191003,경상북도,포항시 북구,기계면,5,1.3
20191003,경상북도,포항시 북구,기북면,1,0.3
20191003,경상북도,포항시 북구,송라면,1,0.5
20191003,경상북도,포항시 북구,신광면,2,0.11
20191003,경상북도,포항시 북구,양학동,1,0.06
20191003,경상북도,포항시 북구,용흥동,3,0.9
20191003,경상북도,포항시 북구,우창동,5,0.61
20191003,경상북도,포항시 북구,장량동,1,0.02
20191003,경상북도,포항시 북구,중앙동,1,0.4
20191003,경상북도,포항시 북구,청하면,4,0.93
20191003,경상북도,포항시 북구,환여동,1,0.1
20191003,경상북도,포항시 북구,흥해읍,2,1.1
