date,sd,sgg,umd,1day,1day_yn,2day,2day_yn
2020-07-12,경상남도,거창군,웅양면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,웅양면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,위천면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,위천면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,위천면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,위천면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,거창군,주상면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,거창군,주상면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,거창군,주상면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,거창군,주상면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,고성군,개천면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,고성군,개천면,2020-07-12,1.3314317638599976e-30,2020-07-13,1.0
2020-07-12,경상남도,고성군,개천면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,고성군,개천면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,고성군,거류면,2020-07-11,1.122331454439518e-07,2020-07-12,0.0
2020-07-11,경상남도,고성군,거류면,2020-07-12,0.9902160167694092,2020-07-13,1.0
2020-07-12,경상남도,고성군,거류면,2020-07-13,4.75729944742995e-24,2020-07-14,0.0
2020-07-13,경상남도,고성군,거류면,2020-07-14,3.3012999473493313e-31,2020-07-15,0.0
2020-07-10,경상남도,고성군,고성읍,2020-07-11,0.0003708302974700928,2020-07-12,0.0
2020-07-11,경상남도,고성군,고성읍,2020-07-12,0.9999998807907104,2020-07-13,1.0
2020-07-12,경상남도,고성군,고성읍,2020-07-13,1.5910527501291562e-18,2020-07-14,0.0
2020-07-13,경상남도,고성군,고성읍,2020-07-14,1.061080040318547e-24,2020-07-15,0.0
2020-07-10,경상남도,고성군,구만면,2020-07-11,1.6309882084897254e-06,2020-07-12,0.0
2020-07-11,경상남도,고성군,구만면,2020-07-12,0.8982789516448975,2020-07-13,1.0
2020-07-12,경상남도,고성군,구만면,2020-07-13,1.2026984771083679e-20,2020-07-14,0.0
2020-07-13,경상남도,고성군,구만면,2020-07-14,7.49299530824178e-24,2020-07-15,0.0
2020-07-10,경상남도,고성군,대가면,2020-07-11,9.095561760361082e-15,2020-07-12,0.0
2020-07-11,경상남도,고성군,대가면,2020-07-12,3.1985358805997066e-11,2020-07-13,1.0
2020-07-12,경상남도,고성군,대가면,2020-07-13,7.927959011884353e-24,2020-07-14,0.0
2020-07-13,경상남도,고성군,대가면,2020-07-14,7.135662888592039e-26,2020-07-15,0.0
2020-07-10,경상남도,고성군,동해면,2020-07-11,1.3524840969392216e-11,2020-07-12,0.0
2020-07-11,경상남도,고성군,동해면,2020-07-12,4.520180141298624e-07,2020-07-13,1.0
2020-07-12,경상남도,고성군,동해면,2020-07-13,3.994989937359889e-21,2020-07-14,0.0
2020-07-13,경상남도,고성군,동해면,2020-07-14,6.309906529890724e-23,2020-07-15,0.0
2020-07-10,경상남도,고성군,마암면,2020-07-11,7.512995239267184e-07,2020-07-12,0.0
2020-07-11,경상남도,고성군,마암면,2020-07-12,0.9381038546562195,2020-07-13,1.0
2020-07-12,경상남도,고성군,마암면,2020-07-13,2.2794406113796378e-20,2020-07-14,0.0
2020-07-13,경상남도,고성군,마암면,2020-07-14,1.2089023266538058e-22,2020-07-15,0.0
2020-07-10,경상남도,고성군,삼산면,2020-07-11,8.704391802893952e-06,2020-07-12,0.0
2020-07-11,경상남도,고성군,삼산면,2020-07-12,0.9999850988388062,2020-07-13,1.0
2020-07-12,경상남도,고성군,삼산면,2020-07-13,6.37166007957002e-15,2020-07-14,0.0
2020-07-13,경상남도,고성군,삼산면,2020-07-14,2.433267370315335e-18,2020-07-15,0.0
2020-07-10,경상남도,고성군,상리면,2020-07-11,1.0497322753834456e-36,2020-07-12,0.0
2020-07-11,경상남도,고성군,상리면,2020-07-12,6.74570829717229e-27,2020-07-13,1.0
2020-07-12,경상남도,고성군,상리면,2020-07-13,1.4752587551275063e-35,2020-07-14,0.0
2020-07-13,경상남도,고성군,상리면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,고성군,영오면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,고성군,영오면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,고성군,영오면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,고성군,영오면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,고성군,영현면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,고성군,영현면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,고성군,영현면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,고성군,영현면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,고성군,하일면,2020-07-11,1.4663083902632934e-07,2020-07-12,0.0
2020-07-11,경상남도,고성군,하일면,2020-07-12,0.9978530406951904,2020-07-13,1.0
2020-07-12,경상남도,고성군,하일면,2020-07-13,1.1774261706903122e-21,2020-07-14,0.0
2020-07-13,경상남도,고성군,하일면,2020-07-14,4.7754770336834895e-26,2020-07-15,0.0
2020-07-10,경상남도,고성군,회화면,2020-07-11,0.00011766640818677843,2020-07-12,0.0
2020-07-11,경상남도,고성군,회화면,2020-07-12,1.0,2020-07-13,1.0
2020-07-12,경상남도,고성군,회화면,2020-07-13,8.838190908112113e-20,2020-07-14,0.0
2020-07-13,경상남도,고성군,회화면,2020-07-14,6.551965522556767e-29,2020-07-15,0.0
2020-07-10,경상남도,남해군,고현면,2020-07-11,1.9671182211415715e-25,2020-07-12,0.0
2020-07-11,경상남도,남해군,고현면,2020-07-12,1.2939786654971615e-21,2020-07-13,1.0
2020-07-12,경상남도,남해군,고현면,2020-07-13,1.8773004058844526e-27,2020-07-14,0.0
2020-07-13,경상남도,남해군,고현면,2020-07-14,2.4696109791107756e-22,2020-07-15,0.0
2020-07-10,경상남도,남해군,남면,2020-07-11,1.6489636539032585e-26,2020-07-12,0.0
2020-07-11,경상남도,남해군,남면,2020-07-12,4.113287051701176e-23,2020-07-13,1.0
2020-07-12,경상남도,남해군,남면,2020-07-13,2.4167413041154474e-29,2020-07-14,0.0
2020-07-13,경상남도,남해군,남면,2020-07-14,3.6174786642110886e-24,2020-07-15,0.0
2020-07-10,경상남도,남해군,남해읍,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,남해군,남해읍,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,남해군,남해읍,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,남해군,남해읍,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,남해군,삼동면,2020-07-11,1.1286902205752908e-18,2020-07-12,0.0
2020-07-11,경상남도,남해군,삼동면,2020-07-12,1.6838234339712394e-18,2020-07-13,1.0
2020-07-12,경상남도,남해군,삼동면,2020-07-13,2.0532923500619006e-22,2020-07-14,0.0
2020-07-13,경상남도,남해군,삼동면,2020-07-14,2.5533310335649703e-19,2020-07-15,0.0
2020-07-10,경상남도,남해군,서면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,남해군,서면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,남해군,서면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,남해군,서면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,남해군,설천면,2020-07-11,3.685660454591213e-25,2020-07-12,0.0
2020-07-11,경상남도,남해군,설천면,2020-07-12,4.9573572267220836e-21,2020-07-13,1.0
2020-07-12,경상남도,남해군,설천면,2020-07-13,3.1747994094181334e-27,2020-07-14,0.0
2020-07-13,경상남도,남해군,설천면,2020-07-14,2.4720426901827737e-22,2020-07-15,0.0
2020-07-10,경상남도,남해군,이동면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,남해군,이동면,2020-07-12,4.0268381003661233e-32,2020-07-13,1.0
2020-07-12,경상남도,남해군,이동면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,남해군,이동면,2020-07-14,1.7454996863766148e-38,2020-07-15,0.0
2020-07-10,경상남도,사천시,곤명면,2020-07-11,8.360599322945822e-25,2020-07-12,0.0
2020-07-11,경상남도,사천시,곤명면,2020-07-12,1.0984549911904355e-26,2020-07-13,1.0
2020-07-12,경상남도,사천시,곤명면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,사천시,곤명면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,사천시,곤양면,2020-07-11,3.147748085325204e-36,2020-07-12,0.0
2020-07-11,경상남도,사천시,곤양면,2020-07-12,1.353617210154438e-37,2020-07-13,3.427268805724382e-19
2020-07-12,경상남도,사천시,곤양면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,사천시,곤양면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,사천시,서포면,2020-07-11,2.5463599744431516e-24,2020-07-12,0.0
2020-07-11,경상남도,사천시,서포면,2020-07-12,1.7461044349031747e-32,2020-07-13,0.006416201591491699
2020-07-12,경상남도,사천시,서포면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,사천시,서포면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,사천시,용현면,2020-07-11,1.220955438531804e-13,2020-07-12,0.0
2020-07-11,경상남도,사천시,용현면,2020-07-12,2.2579040145822432e-13,2020-07-13,1.0
2020-07-12,경상남도,사천시,용현면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,사천시,용현면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,사천시,정동면,2020-07-11,4.6520205222722044e-12,2020-07-12,0.0
2020-07-11,경상남도,사천시,정동면,2020-07-12,1.5059115867188666e-05,2020-07-13,1.0
2020-07-12,경상남도,사천시,정동면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,사천시,정동면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,산청군,금서면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,금서면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,산청군,금서면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,산청군,금서면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,산청군,단성면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,단성면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,산청군,단성면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,산청군,단성면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,산청군,산청읍,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,산청읍,2020-07-12,6.388107258058369e-24,2020-07-13,1.0
2020-07-12,경상남도,산청군,산청읍,2020-07-13,1.4331400011738542e-36,2020-07-14,0.0
2020-07-13,경상남도,산청군,산청읍,2020-07-14,6.105073791504091e-30,2020-07-15,0.0
2020-07-10,경상남도,산청군,삼장면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,삼장면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,산청군,삼장면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,산청군,삼장면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,산청군,생비량면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,생비량면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,산청군,생비량면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,산청군,생비량면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,산청군,생초면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,생초면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,산청군,생초면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,산청군,생초면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,산청군,시천면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,시천면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,산청군,시천면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,산청군,시천면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,산청군,신등면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,신등면,2020-07-12,6.388107258058369e-24,2020-07-13,1.0
2020-07-12,경상남도,산청군,신등면,2020-07-13,1.4331400011738542e-36,2020-07-14,0.0
2020-07-13,경상남도,산청군,신등면,2020-07-14,6.105073791504091e-30,2020-07-15,0.0
2020-07-10,경상남도,산청군,신안면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,신안면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,산청군,신안면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,산청군,신안면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,산청군,오부면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,오부면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,산청군,오부면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,산청군,오부면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,산청군,차황면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,산청군,차황면,2020-07-12,3.42098074843825e-37,2020-07-13,1.0
2020-07-12,경상남도,산청군,차황면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,산청군,차황면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,금곡면,2020-07-11,3.7150473722034423e-26,2020-07-12,0.0
2020-07-11,경상남도,진주시,금곡면,2020-07-12,1.3862206467343124e-13,2020-07-13,1.0
2020-07-12,경상남도,진주시,금곡면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,금곡면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,금산면,2020-07-11,7.189256134854105e-11,2020-07-12,0.0
2020-07-11,경상남도,진주시,금산면,2020-07-12,2.8661717443867474e-10,2020-07-13,1.0
2020-07-12,경상남도,진주시,금산면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,금산면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,내동면,2020-07-11,1.167553188341906e-24,2020-07-12,0.0
2020-07-11,경상남도,진주시,내동면,2020-07-12,1.678481781270739e-25,2020-07-13,1.0
2020-07-12,경상남도,진주시,내동면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,내동면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,명석면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,진주시,명석면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,진주시,명석면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,명석면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,문산읍,2020-07-11,8.358851466354865e-16,2020-07-12,0.0
2020-07-11,경상남도,진주시,문산읍,2020-07-12,7.132894666028733e-07,2020-07-13,1.0
2020-07-12,경상남도,진주시,문산읍,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,문산읍,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,미천면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,진주시,미천면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,진주시,미천면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,미천면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,상봉동,2020-07-11,6.960936271838136e-10,2020-07-12,0.0
2020-07-11,경상남도,진주시,상봉동,2020-07-12,7.883197566949107e-11,2020-07-13,1.0
2020-07-12,경상남도,진주시,상봉동,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,상봉동,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,수곡면,2020-07-11,1.2085687775828521e-17,2020-07-12,0.0
2020-07-11,경상남도,진주시,수곡면,2020-07-12,2.169857535871142e-16,2020-07-13,1.0
2020-07-12,경상남도,진주시,수곡면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,수곡면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,진성면,2020-07-11,5.882774600568172e-14,2020-07-12,0.0
2020-07-11,경상남도,진주시,진성면,2020-07-12,1.9584681099082957e-12,2020-07-13,1.0
2020-07-12,경상남도,진주시,진성면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,진성면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,초장동,2020-07-11,2.7108770339623334e-08,2020-07-12,0.0
2020-07-11,경상남도,진주시,초장동,2020-07-12,1.3134016096927326e-09,2020-07-13,1.0
2020-07-12,경상남도,진주시,초장동,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,초장동,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,진주시,판문동,2020-07-11,1.2853477528551593e-05,2020-07-12,0.0
2020-07-11,경상남도,진주시,판문동,2020-07-12,3.079697705743456e-07,2020-07-13,1.0
2020-07-12,경상남도,진주시,판문동,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,진주시,판문동,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,통영시,광도면,2020-07-11,0.9986927509307861,2020-07-12,0.0
2020-07-11,경상남도,통영시,광도면,2020-07-12,4.85437207873576e-15,2020-07-13,1.0
2020-07-12,경상남도,통영시,광도면,2020-07-13,9.260738267273354e-16,2020-07-14,0.0
2020-07-13,경상남도,통영시,광도면,2020-07-14,1.4715908613210926e-13,2020-07-15,0.0
2020-07-10,경상남도,통영시,도산면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,통영시,도산면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,통영시,도산면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,통영시,도산면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,통영시,미수동,2020-07-11,0.9996007680892944,2020-07-12,0.0
2020-07-11,경상남도,통영시,미수동,2020-07-12,2.8714961041667477e-21,2020-07-13,1.0
2020-07-12,경상남도,통영시,미수동,2020-07-13,4.389268484390131e-18,2020-07-14,0.0
2020-07-13,경상남도,통영시,미수동,2020-07-14,2.4820843622617994e-13,2020-07-15,0.0
2020-07-10,경상남도,통영시,봉평동,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,통영시,봉평동,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,통영시,봉평동,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,통영시,봉평동,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,통영시,산양읍,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,통영시,산양읍,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,통영시,산양읍,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,통영시,산양읍,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,통영시,용남면,2020-07-11,0.9999799132347107,2020-07-12,0.0
2020-07-11,경상남도,통영시,용남면,2020-07-12,6.358202511570896e-32,2020-07-13,1.0
2020-07-12,경상남도,통영시,용남면,2020-07-13,4.555195452879816e-25,2020-07-14,0.0
2020-07-13,경상남도,통영시,용남면,2020-07-14,7.367007020198336e-18,2020-07-15,0.0
2020-07-10,경상남도,통영시,정량동,2020-07-11,0.9999997615814209,2020-07-12,0.0
2020-07-11,경상남도,통영시,정량동,2020-07-12,8.457120555613841e-32,2020-07-13,1.0
2020-07-12,경상남도,통영시,정량동,2020-07-13,4.6738888451859536e-24,2020-07-14,0.0
2020-07-13,경상남도,통영시,정량동,2020-07-14,6.448436416458571e-16,2020-07-15,0.0
2020-07-10,경상남도,하동군,고전면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,하동군,고전면,2020-07-12,0.0,2020-07-13,1.0
2020-07-12,경상남도,하동군,고전면,2020-07-13,0.0,2020-07-14,0.0
2020-07-13,경상남도,하동군,고전면,2020-07-14,0.0,2020-07-15,0.0
2020-07-10,경상남도,하동군,북천면,2020-07-11,0.0,2020-07-12,0.0
2020-07-11,경상남도,하동군,북천면,2020-07-12,0.0,2020-07-13,1.0
